0,photograph,photographer,photography
1,americans,minority_group,african_americans
2,homelessness,emergency_shelter,supportive_housing
3,human,human_brain,genetics
4,executive_director,ex_officio_member,president
5,association,football_association,team
6,allen_toussaint,the_orleans,hurricane_katrina
7,librarian,public_library,new_york_public_library
8,addition,five_years,time
9,british_empire,great_britain,london
10,ralph_waldo_emerson,ellis,alden
11,wife,his_family,son
12,smithsonian_american_art_museum,art_museum,smithsonian_institution
13,basketball,football,football_team
14,a_woman,man,love
15,questioning,answer,the_questions
16,lecture,jefferson_lecture,george_washington_university
17,everything,we_could,i_could
18,house_of_representatives,state_senator,kansas_senate
19,spain,madrid,united_states
20,seventh_grade,eighth_grade,tenth_grade
21,room,window,bedroom
22,school,middle_school,preschool
23,national_committee,education_commission,administration_committee
24,day_camp,summer,week
25,duke_university,ohio_university,tulane_university
26,student,college,school
27,colorado_river,denver,salt_lake_city
28,money,income_tax,taxable_income
29,sheet_metal,stove,wooden_box
30,apollo_program,apollo_8,apollo_11
31,tribe,indian_people,tribal_chief
32,connecticut_river,university_of_connecticut,wesleyan_university
33,classical_greece,egypt,egyptians
34,constitution,constitutional_right,constitutional_court
35,seafood,shellfish,fast_food
36,nuclear_physics,physics,quantum_field_theory
37,palestinians,palestinian_territories,israel
38,light_blue,black,bright_blue
39,mockumentary,drama,comedy_film
40,experience,sense,mind
41,raise,wolfson_foundation,clinton_foundation
42,ross,ellis,martin
43,brooklyn,queens,lower_manhattan
44,politics,conservative_party_(uk),conservative_party_(bolivia)
45,david_johnson_(ohio_politician),john_carroll_(ohio_politician),doug
46,staten_island,long_island_sound,brooklyn
47,world_award,teacher_award,jim_thorpe_award
48,tours,art_exhibition,museum
49,curriculum,liberal_arts_college,college
50,jennings,ellis,clark
51,president,vice_president,board_of_directors
52,community_college,university_college,education
53,martin,charles,richard
54,grandchild,husband,state_funeral
55,saturday,sunday,friday
56,undergraduate_degree,graduate_school,graduate
57,artist,women_artists,visual_arts
58,martin_luther,pope,pope_paul_vi
59,chicago,central_illinois,northern_illinois
60,irene_cara,emma_stone,tony_randall
61,downtown_seattle,university_of_washington,washington_state_university
62,father,daughter,two_daughters
63,100_million,budget,operating_budget
64,philosophy_of_mind,analytic_philosophy,history_of_philosophy
65,mechanical_engineering,systems_engineering,civil_engineering
66,performing_arts_center,performing_arts,theatre
67,humanism,bioethics,medical_ethics
68,letterhead,cards_(ios),postcard
69,europe,germans,east_germany
70,gerald,mrs.,robert_morris_(politician)
71,organization,the_association,umbrella_organization
72,islam,islamism,islamic_state_of_iraq
73,president,chairman,undersecretary
74,self-publishing,heinemann_(publisher),publication
75,montclair_state_university,rutgers_university,kean_university
76,library,information_centre,carnegie_library
77,female,feminism,feminist_movement
78,historian,historical_figure,historiography
79,longer,time,eventually
80,theodore_roosevelt,north_dakota,franklin_d._roosevelt
81,education_policy,public_policy,social_policy
82,new_york_city,new_york,has_been
83,democratic_national_committee,counselor_to_the_president,michelle_obama
84,university,private_university,public_university
85,university_of_maine,coleraine,william_wright_(footballer)
86,mind,essence,human_nature
87,slavery,history_of_slavery,jefferson_davis
88,construction,architecture,architectural_design
89,west_virginia,the_virginia,knox_county
90,mexico,latin_america,dominican_republic
91,20th_century,time,recent
92,dance,modern_dance,american_ballet_theatre
93,home_computer,microcomputer,computer_hardware
94,maryland,charles_street_(baltimore),southern_maryland
95,united_methodist_church,methodism,united_reformed_church
96,political_party,candidate,election
97,national_security,health_department,government_agency
98,even_though,at_the_time,soon
99,thompson,johnson,louis_johnson_(politician)
100,corporation,education,nonprofit_organization
101,americans,nation,nation_state
102,graduate,doctorate,doctor_of_education
103,john_hayes_(australian_politician),sutton,stewart
104,director-general,governor,state_government
105,non-fiction,creative_nonfiction,science_fiction
106,henry_adams_(american_football),owens,hopkins
107,metropolitan_opera,opera,grand_opera
108,south_carolina,university_of_georgia,georgia_state_university
109,writing,on_writing,writer
110,liberty_monument,battle_monument,washington_monument_(west_point)
111,mother,father,husband
112,police_officer,police,violent_crime
113,thomas_jefferson,eleanor_roosevelt,theodore_roosevelt
114,mormons,idaho,mormonism
115,government_spending,economic_growth,inflation
116,social_science,linguistics,language
117,bread,breakfast,meat
118,controversy,critique,debate
119,building,street,main_street
120,child,childhood,only_child
121,energy_development,water,alternative_energy
122,homosexuality,heterosexuality,human_sexuality
123,test_score,high_school,medical_college_admission_test
124,information_science,primary_research,informatics
125,a_decade,nearly,time
126,second_husband,daughter,two_daughters
127,education,vocational_education,postgraduate_education
128,the_hartford,connecticut_river,university_of_connecticut
129,art,humanities,cultural_center
130,patient,medicine,history_of_medicine
131,social_psychology,psychological_research,psychology
132,played,utility_player,playoffs
133,writing,on_writing,book
134,professor,new_york_university,the_institute
135,clothing,dress_shirt,sweater
136,religion,christian,christian_church
137,painting,art_exhibition,women_artists
138,drug,addiction,alcohol_abuse
139,princeton_university,harvard_university,boston_university
140,paris,l'homme,l'histoire
141,corporate_finance,management,privately_held_company
142,asia,overseas_chinese,india
143,experience,culture,idea
144,yiddish,jews,the_holocaust
145,psychology,analytical_psychology,ego_psychology
146,modernism,postmodernism,art_criticism
147,a_celebration,national_day,anniversary
148,harvard_university,university,research
149,husband,wife,sister
150,woodrow_wilson,the_president,joe_biden
151,lawyer,law_school,law
152,overdubbing,piano_(wynton_kelly_album),session_musician
153,random_house,penguin_random_house,penguin_group
154,friends,the_stories,a_story
155,military_history,military,military_strategy
156,question,matter,fact
157,russia,russian_empire,history_of_russia
158,city_district,city_council,district
159,moby_dick_(1978_film),john_phillips_(cricketer),bob_williams_(politician)
160,goodwin,johnson,thompson
161,lesbian,gay,hiv/aids
162,ford_foundation,the_institute,research_institute
163,learning,lifelong_learning,service-learning
164,book,john_steinbeck,book_review
165,we,day,a_few_days_later
